subject_uri,subject_name,nodeid,browseName,label,synonyms,entity_types
http://org.semanticweb.owlapi/error/Error6,Error6,<None>,<None>,Error6,<None>,http://www.w3.org/2002/07/owl/Class
http://www.opengis.net/ont/geosparql/SpatialObject,SpatialObject,<None>,<None>,SpatialObject,<None>,http://www.w3.org/2002/07/owl/Class
http://www.w3.org/2004/02/skos/core/ConceptScheme,ConceptScheme,<None>,<None>,Concept_Scheme,<None>,http://www.w3.org/2002/07/owl/Class
http://www.w3.org/2006/time/DurationDescription,DurationDescription,<None>,<None>,DurationDescription,<None>,http://www.w3.org/2002/07/owl/Class
http://www.w3.org/2006/time/TemporalPosition,TemporalPosition,<None>,<None>,TemporalPosition,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/Actuation,Actuation,<None>,<None>,Actuation,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4bldg/Building,Building,<None>,<None>,Building,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/DDBCInstruction,DDBCInstruction,<None>,<None>,Demand_Driven_Based_Control_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FRBCInstruction,FRBCInstruction,<None>,<None>,Fill_Rate_Based_Control_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FailsafeState,FailsafeState,<None>,<None>,Fail-safe_state,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FlexRequest,FlexRequest,<None>,<None>,Flex_request,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/GaussianDataPoint,GaussianDataPoint,<None>,<None>,Gaussian_data_point,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/IncentiveTableSlot,IncentiveTableSlot,<None>,<None>,Incentive_table_slot,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSequenceElement,PowerSequenceElement,<None>,<None>,Power_sequence_element,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/Area,Area,<None>,<None>,Area,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/GTIN12ID,GTIN12ID,<None>,<None>,GTIN12ID,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/GTIN13ID,GTIN13ID,<None>,<None>,GTIN13ID,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/GTIN14ID,GTIN14ID,<None>,<None>,GTIN14ID,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/GTIN8ID,GTIN8ID,<None>,<None>,GTIN18ID,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/IRDI,IRDI,<None>,<None>,IRDI,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/MaterialBatch,MaterialBatch,<None>,<None>,Material_Batch,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/MaterialCategory,MaterialCategory,<None>,<None>,Material_category,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ProductionEquipmentFunction,ProductionEquipmentFunction,<None>,<None>,Production_equipment_function,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/Site,Site,<None>,<None>,Site,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/UUID,UUID,<None>,<None>,UUID,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/WorkCenter,WorkCenter,<None>,<None>,Work_center,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Electricity,Electricity,<None>,<None>,Electricity,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Energy,Energy,<None>,<None>,Energy,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/FunctionRelated,FunctionRelated,<None>,<None>,Function_related,<None>,http://www.w3.org/2002/07/owl/Class
